tweets,time,hashtags
"Last Night My Sister Said  To Me
 “With Kobe Gone...It Seems Like All The Stars Have Burned Out”. 
My Sister ♥️💔♥️💔Kobe",2020-01-27 21:06:38,[]
"@phyllisWookey They look so much alike. She’s a beautiful little girl.The Loss To Their Family is impossible to Comprehend,It’s mind numbing.I didn’t know them (Except through Gee &amp; Ebar,THEY LOVED HIM SO MUCH)but I Keep Crying.Its Universal Grief😥",2020-01-27 03:04:45,[]
Maybe later,2020-01-27 02:53:45,[]
"Wanted to send a song That I Sang That makes me feel the sadness I’m feeling right now, but I didn’t know them &amp; Maybe it’s inappropriate.ppl can be so mean",2020-01-27 02:52:39,[]
"I feel sad for my sister ,Gee &amp; Brother- in Law,Ebar...They  Are CRUSHED💔.THEY. ARE HUGE LAKERS FANS...But Kobe Was
Their ♥️",2020-01-26 21:25:32,[]
"My💔Goes Out To Kobe’s Family,Friends,Fans. It’s SO HARD To Deal With The Death Of a GREAT STAR,Because We Feel As If We Knew Them Personally.Kobe Bryant Was a GREAT ATHLETE,&amp; All Of America Will Feel His Loss. 
The 🌎 Has Lost a Bright Light ✨🌟✨.",2020-01-26 20:48:25,[]
@gayleCh36867727 Dear God We Are In Trouble Now🙏🏻,2020-01-26 18:47:58,[]
"I’d Like. To See. Responses
About Kim &amp; Me I Think It’s Important",2020-01-26 05:16:04,[]
"Don’t Understand why Women Have To Explain  Themselves,&amp; Their Choices. Please Dont Make 50’s,60’s,70’s Mistake...The Time Has Passed  When We Can Be Patted On Our Heads &amp; Told To  Be Good  Girls. Most Young Men Get It. It Takes older Men Longer",2020-01-26 05:03:39,[]
"@LivinMyBst @davy_roder @MrRicione 1st Ur An IDIOT,.I Run  a Business With A 100 Ppl. KIM &amp; I Do More Work Than You Could Possibly COMPREHEND. Kim Has Work Ethic Thats Beyond Ur Undeveloped 🧠.She’s a Sweet♥️ &amp; Smart.We’re Women Who Do Our Jobs + CHARITY WORK To Try &amp; MAKE PPL’S LIVES BETTER.
What Do You Do⁉️",2020-01-26 04:19:32,[]
@davy_roder 👏🏻,2020-01-25 08:24:26,[]
@mikemartinezz God🙄,2020-01-25 07:47:59,[]
"trump’s BOGUS,UNFUNDED,
”SPACE FORCE”LOGO,LOOKS LIKE”STAR TREK”LOGO‼️
I THOUGHT HE WAS GOING TO HAVE THE “BEST PEOPLE⁉️
WHAT A F-N IMBECILE https://t.co/nY35S54Tl1",2020-01-25 07:33:15,[]
"@RoarAshley @britneyspears I WISH I KNEW HER...I’D GO SEE HER,LISTEN,GIVE HER A HUG,&amp; BECAUSE UNLIKE THOSE  IN HER LIFE ...I WANT &amp; NEED NOTHING FROM HER. IN VEGAS PPL HAVE TALKED ABOUT THIS FOR LONG TIME",2020-01-25 04:59:57,[]
@peta IF MY MOM SAW HIM DO THAT... SHE WOULD GIVE HIM THE MAJOR ASS WHIPPING HE DESERVES. I HAVE NO SYMPATHY FOR A MAN WHO DOES ANYTHING TO A DEFENSELESS ANIMAL.PUT HIM IN JAIL &amp; THROW AWAY 🗝,2020-01-24 23:53:53,[]
"Know Adam Schiff Cant Carry Whole Impeachment,&amp; Every1’s Tired,But If HES Not Talking My Mind Wanders.Others R Doing Best,But”Most”R Dry &amp; Sound like They’re Giving Lecture On Algebra. Am Trying Because trump’s Danger 2🇺🇸&amp;Thinks Edison &amp; F. Douglass R Alive,&amp;🇺🇸Invented Wheel",2020-01-24 23:43:06,[]
"I Am SO Tired...I Have To Go Lie Down &amp; Watch msnbc👋🏻
#AdamSchiffTRUTHMATTERS",2020-01-24 05:42:49,AdamSchiffTRUTHMATTERS
@LizzLikeMusic ♥️🎂,2020-01-24 05:31:53,[]
@BetsyNevil3 Away Where😳,2020-01-24 05:30:12,[]
"@JericaSwag @MileyCyrus Doesn’t She Have An”Advocate”
With No Vested💰Interest⁉️",2020-01-24 05:29:08,[]
"@ellenzradio @mthomson2008 When He Ran For President He
Sought To Divide The Country‼️He Created a Bloodless Civil War.He Has Nothing Inside,He’s Empty,a
Void,a Black 🕳",2020-01-24 05:10:31,[]
@JericaSwag @MileyCyrus Who’s Her”TEAM”⁉️,2020-01-24 05:01:50,[]
@ellenzradio @mthomson2008 ⁉️,2020-01-24 04:58:18,[]
@Annette80995626 @BetsyNevil3 Will 🙏🏻,2020-01-24 04:57:47,[]
@Chris_BlueWave F’N A BUBBA‼️,2020-01-24 04:54:27,[]
"At Work &amp; Am Incredulous 
As To WHY WHY WHY
THE DEMS KEEP SAYING 
“QUID PRO QUA”🙄.
MOST PPL IN AMERICA DONT UNDERSTAND LATIN.  BASICALLY IT IS 
BRIBERY‼️IT MEANS “ THIS FOR THAT”
💋
ME",2020-01-24 01:23:48,[]
"Nite,Work EARLY....I HATE EARLY🤮",2020-01-23 08:25:19,[]
@xannalenakx Very ingenious🎠,2020-01-23 08:24:15,[]
@randy_kelle Ahh Yes....AND....”WE MUST PROTECT THEM”,2020-01-23 08:15:32,[]
"donald trump,President Of The United States...Thinks...🤯
“THOMAS ALVA EDISON”IS STILL ALIVE😵.WONDER IF HE THINKS EDISON IS STILL IN MENLO PARK⁉️NOT LONG AGO HE THOUGHT FREDERICK DOUGLASS WAS STILL ALIVE. 
fk Impeachment..WE’RE IN DANGER,😱SOMEONE GET THE 25th AMENDMENT🤪",2020-01-23 08:05:03,[]
Got to go Working tomm.🤫,2020-01-23 01:48:12,[]
"@MarioC_93 Question...Why is a woman being worked,If Its Known By Her Conservator that She’s not well enough to Care for herself",2020-01-23 01:45:24,[]
"Inside the Battle for Britney Spears https://t.co/t6McOBuuSv via @LAMag POSSIBLE ...JUST ENOUGH MEDS TO KEEP HER WORKING,BUT NOT ENOUGH TO HAVE A LIFE",2020-01-23 00:49:40,[]
"Sea foam fills streets in Spain after deadly storm Gloria hits the country / Twitter
Guess There Is No Climate Change.trump SAYS THERE IS NO CLIMATE CHANGE....
WE ARE SOOOO.....😱 https://t.co/EgSP6SO2Jk",2020-01-23 00:43:44,[]
@Cher___Chicago @cherbvllock 👻🎂 https://t.co/SoIxpucR6A,2020-01-23 00:39:14,[]
@CherMakesScents Hurray💄💃🏽👠👠.Hope Bitch Goes Down For The Count👏🏻,2020-01-23 00:38:23,[]
"@kadamson44 HE DOESNT GIVE A FLYING FK ABOUT THOSE TROOPS.HE SAID”ITS NOT LIKE THEY LOST AN ARM OR LEG”.LIKE trump KNOWS”ANYTHING”ABOUT PUTTING HIMSELF IN DANGER 4 HIS COUNTRY🇺🇸.HE’S LOYAL 2 RUSSIA. RE HEAD TRUMA, I DIDN’T KNOW trump WAS CROOKED PRES.”AND”A NEUROLOGICAL  SPECIALIST😱 https://t.co/opBUHVXjsg",2020-01-23 00:35:42,[]
@NisaCher One of my favorite songs💔,2020-01-22 23:53:05,[]
@Trinijasgirl31_ @Honeyglowoman1 @deborahgoguen The Ingredients are VERY GOOD.Spray a little,2020-01-22 23:51:53,[]
@Annette80995626 I loved it too🥰,2020-01-22 23:50:25,[]
@Trinijasgirl31_ @Honeyglowoman1 @deborahgoguen What😳,2020-01-22 23:49:47,[]
"@Puds13751 trumps Half Way 2 Achieving His Goal,.Turning American’s Into🐑&amp; Help From Russia AGAIN.If We  Don’t Fight Hard &amp;Soon,He’ll Obtain Complete Power In🇺🇸.He Controls Supreme Court,150 lifetime Judges, ENTIRE GOV. He Uses Intimidation,💰,Quid Pro Quo,Promises,Member Of trump Cult",2020-01-22 23:48:31,[]
trump Didn’t Care About Severe HEAD Injuries SUFFERED BY TROOPS By Iranian Missiles. trump said”I didn’t know About Head Injuries Immediately”BUT WHY DDIDNT HE SAY SOMETHING WHEN HE FOUND OUT.He Also Said INJURES WERE Nothing compared 2 Losing Arm Or Leg https://t.co/Hb6cPrSley,2020-01-22 19:18:29,[]
"Will Donald Trump Destroy Presidency?The Atlantic.He
Divided🇺🇸,Rules GOP,&amp; ALL Agencies,&amp; Branches Of Gov.With IRON👊.COMPLIES WITH NO RULES,IS ACCOUNTABLE 2 NO 1, ACKNOWLEDGES NO POWER BUT HIS OWN.LIES,CHEATS, STEALS,&amp;PICKS GREEDY CRIMINALS 2RUN🇺🇸

  https://t.co/pSoltpg9M4",2020-01-22 09:15:55,[]
"@HulmeCharlotteA Breathe,Read,Listen to a book.
There’s always Overwhelming 
Shit that happens , gotta know that. Your job,find ways to deal.
Just got an app I like “Slumber”
It Can help you Chill.Pema
Chodren WHEN THINGS FALL APART",2020-01-22 07:39:43,[]
"Babe,Give It Up. GOP Back In The Day Didn’t♥️Giving Things Away 4 Free,But They Werent Trumpians. Congressman At Son’s Funeral,Said,”HE DIDNT KNOW AS MUCH ABOUT POLITICS AS SUM OTHERS,BUT HE COULD GET ANGRY MEN BACK 2 THE TABLE,&amp; MAKE EM LAUGH TILL THEY GOT SOMETHING DONE",2020-01-22 06:44:39,[]
"Sorry,Was worried about some
Grammar &amp; Wanted To re-write it,&amp; My Phone Died😤..I 🙏🏻There are less mistakes in this one &amp; That My Meaning Is  crystal Clear",2020-01-22 03:27:24,[]
"Do Not Give Up America’s Guiding Document To The Republican Senate..They will Only Trample It like Their Master Of Chaos,donald john trump.
“GIVE NOT WHAT IS HOLY UNTO DOGS,NOR CAST YOUR
PEARLS BEFORE SWINE. REPUBLICAN SENATORS ARE NOT UNBIASED JURORS..., THEY ARE LIARS &amp; SWINE",2020-01-22 03:21:26,[]
"trump’s Like Deadly Virus,Only He Knows Who,&amp; What He Kills.
He’s🔥Bent On Remaking🇺🇸
IN HIS OWN IMAGE.HE’S CO-OPTED GOP,DOJ,CIA,FBI, SECRETARY OF STATE, PENTAGON,ALL AGENCIES.IF HE WINS,HATRED,RACISM BIGOTRY WILL ESCALATE. FREDOM WILL PERISH.RUSSIA WINS #MANCHURIANCANDIDATE.",2020-01-21 01:42:30,MANCHURIANCANDIDATE
@primo2009 Will do my best .,2020-01-21 00:50:27,[]
@deborahgoguen @primo2009 Will do my best.... I’m just the singer,2020-01-21 00:48:49,[]
"@brill_inst IM🙏🏻SORRY,in writing I felt HE GAVE HIS LIFE 4 HIS CAUSE.Throughout History 
Brave men have knowingly RISKED their Lives 4 The causes they believed in.I know he was “KILLED”On Balcony of His Motel .Medgar Evers knew he was in constant Danger Of Death,but risked his life Anyway",2020-01-21 00:44:04,[]
"Martin Luther King Jr. Is A Hero To All Ppl Of Good Will. He Gave His Life Trying To Right 
A Wrong,A Dark Cloud That Rains Down Hatred &amp; Pain Across America 2 THIS DAY. HOW CAN WE BE THE LAND OF THE FREE TILL ALL PPL ARE TREATED WITH RESPECT. THERE IS NO EQUALITY IN🇺🇸",2020-01-20 23:50:37,[]
Why⁉️ https://t.co/yE9ZzkLCet,2020-01-20 09:26:36,[]
@BabautaBrandon @ChelseaSwan7 A Cutie🧚🏻‍♀️,2020-01-20 07:17:14,[]
"@CherMakesScents I Miss Both Of Them SO MUCH.
We Are Lost Without Them.
They were The Soul Of  The Democratic Party.💔
Elijah Cummings &amp; John Lewis
Are HEROES Forevermore 🙏🏻",2020-01-20 04:05:51,[]
@soofiisooph WHOA....WHO IS THE GREATEST ACTRESS EVER.... WITH THE HOT BOD⁉️,2020-01-20 02:48:14,[]
"National Archives Apologizes
For blurring Signs Which Were Carried during”Women’s March.
What I Want 2 Know Is,WHO COULD MAKE THEM COMPROMISE THE VALUE
SYSTEM THEY’VE ADHERED 2
FOR 75 YEARS😳⁉️WHO WANTED IT DONE,WHO
WAS POWERFUL ENOUGH 2
GET IT DONE⁉️WHO WAS PETTY ENOUGH⁉️ https://t.co/W0XCFoaqRu",2020-01-20 02:40:33,[]
"I appreciate,&amp; All Your ♥️ &amp;  support, but Taking RESPONSIBILITY,&amp; Being
ACCOUNTABLE Is a MUST. Saying you’re sorry &amp; meaning it
Keeps you grounded. https://t.co/UzoWDWDohB",2020-01-19 20:36:31,[]
"@CherIsTheCure Do you ♥️Art,&amp; Fashion⁉️
If So “Remember”.
Stress is part of life.learn how to
React to it. Easier said than done,Trust Me I Know. I Have Major Work Friday....Stress Won’t Help me do a better job.
When we feel afraid...breathe,&amp; Let Fear wash over us.",2020-01-19 19:56:48,[]
